date,Firm,Sample,Turnout,psoe,pp,vox,sumar,erc,jxcat20,pnc,bildu,cup,cc,bng,nap,emp,Lead,podemos,cs,ccnc,prc,upodemos,mas
2022-03-08,Hamalgama Métrica/VozPópuli[68],1000,NA,24.3,32.1,15.8,NA,3.3,2,1.6,1.1,0.9,NA,0.7,0.2,0.1,7.8,NA,1.40,0.52,0.21,9.824,2.43
2022-03-07,Simple Lógica/elDiario.es[69],1028,66.1,27,28.8,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,2.1,NA,NA,12.4,2.0
2022-03-06,Celeste-Tel/Onda Cero[70][71],1100,64.5,24.8,32.7,14.3,NA,3.3,2.1,1.5,1.3,0.9,NA,0.7,0.2,0.1,7.9,NA,2.21,0.42,0.21,10.224,2.84
2022-03-03,ElectoPanel/Electomanía[72],1027,NA,25.3,32.2,15,NA,2.4,2,1.5,1.3,0.8,NA,0.8,0.3,0.3,6.9,NA,2.61,0.61,0.21,11.128,1.74
2022-03-03,SocioMétrica/El Español[73],900,NA,25,31.6,15,NA,2.5,1.8,1.4,1.1,0.7,NA,0.5,0.4,0.8,6.6,NA,2.10,0.31,0.21,11.230,2.53
2022-03-02,Sigma Dos/El Mundo[74],1772,NA,25,31.5,14.7,NA,3.4,2.5,1.5,NA,NA,NA,NA,NA,NA,6.5,NA,2.40,NA,NA,9.822,2.73
2022-03-01,GESOP/Prensa Ibérica[75],1002,NA,26.9,29.8,14.8,NA,2,1.8,NA,NA,NA,NA,NA,NA,NA,2.9,NA,2.00,NA,NA,11.830/33,2.52/3
2022-02-26,40dB/Prisa[76][77],2000,NA,26.4,28.6,14.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,2.51,?2,?1,12.331/35,3.33/4
2022-02-24,NC Report/La Razón[78],1000,66.2,24.2,33.4,13.8,NA,3.2,2,1.5,1.2,NA,NA,NA,NA,NA,9.2,NA,1.90,NA,NA,10.024/26,2.93
2022-02-24,InvyMark/laSexta[79],NA,NA,27.1,30.3,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,0.8,NA,NA,9.6,3.0
2022-02-24,ElectoPanel/Electomanía[80],1101,NA,25.8,31.9,15,NA,2.4,2,1.6,1.3,0.8,NA,0.8,0.3,0.3,6.1,NA,2.61,0.62,0.21,11.028,1.64
2022-02-23,KeyData/Público[81],NA,68.5,25.9,31.1,15.1,NA,3.3,2.1,1.5,1.1,1,NA,NA,NA,NA,5.2,NA,1.80,?2,?1,10.426,2.53
2022-02-23,Data10/OKDiario[82],1500,NA,25,31.6,15.7,NA,3,2,1.6,1.5,0.9,NA,0.8,0.4,0.1,6.6,NA,1.90,0.51,0.21,10.325,2.53
2022-02-22,GAD3/NIUS[83][84],1001,68,26.9,33.9,13.4,NA,2.4,1.7,1.4,1,0.8,NA,0.7,0.2,0.1,7.0,NA,1.40,0.52,0.21,9.620/22,2.43
2022-02-22,Sigma Dos/Antena 3[85],NA,NA,25.2,31.6,14.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.4,NA,2.50/1,NA,NA,9.420/22,2.63/4
2022-02-19,DYM/Henneo[86],1003,NA,27.1,32.4,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,2.00/1,NA,NA,9.218/21,2.62/3
2022-02-17,ElectoPanel/Electomanía[87],NA,NA,25.6,32.1,15.1,NA,2.4,2,1.6,1.3,0.8,NA,0.8,0.3,0.2,6.5,NA,2.61,0.51,0.21,10.827,1.74
2022-02-11,CIS (SocioMétrica)[b][88][89],3935,62.6,26.3,31.9,15,NA,1.7,0.9,1.1,1,0.5,NA,0.5,0.4,0.1,5.6,NA,2.0,0.2,0.2,11.5,1.9
2022-02-11,CIS[90][91][92],3935,NA,32.1,29.8,10,NA,2,1.1,0.8,1.1,0.5,NA,0.6,0.5,0.1,2.3,NA,2.00,0.41,0.10,12.736,1.31
2022-02-10,ElectoPanel/Electomanía[93],1084,NA,25.6,31.8,15,NA,2.5,2,1.6,1.3,0.8,NA,0.8,0.3,0.3,6.2,NA,2.61,0.51,0.21,10.828,1.63
2022-02-10,InvyMark/laSexta[94],NA,NA,27.4,29.8,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,0.9,NA,NA,9.5,3.2
2022-02-09,Hamalgama Métrica/VozPópuli[95],1000,NA,24.4,32,16,NA,3.2,2,1.5,1.1,0.9,NA,0.7,0.2,0.1,7.6,NA,1.50,0.52,0.21,9.924,2.53
2022-02-07,Simple Lógica/elDiario.es[96],1240,65.7,27.7,29.7,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,1.7,NA,NA,11.2,2.3
2022-02-03,ElectoPanel/Electomanía[97],1123,NA,25.8,31.7,15,NA,2.5,2,1.6,1.3,0.8,NA,0.8,0.3,0.3,5.9,NA,2.61,0.51,0.21,10.928,1.63
2022-02-03,SocioMétrica/El Español[98],900,NA,25.4,31.1,15,NA,2.7,1.9,1.4,1.1,0.8,NA,0.6,0.3,0.9,5.7,NA,1.80,0.31,0.21,10.829,2.73
2022-02-02,Sigma Dos/El Mundo[99],1702,NA,24.6,31.1,16,NA,3.3,2.5,1.4,NA,NA,NA,NA,NA,NA,6.5,NA,2.21,NA,NA,10.224,2.63
2022-01-29,40dB/Prisa[100][101],2000,NA,26.9,28.7,14.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,2.61,?2,?1,11.529/32,2.93
2022-01-27,ElectoPanel/Electomanía[102],1015,NA,26,31.4,14.9,NA,2.5,2,1.6,1.3,0.8,NA,0.8,0.3,0.2,5.4,NA,2.51,0.52,0.21,11.128,1.64
2022-01-27,InvyMark/laSexta[103],NA,NA,27.5,29.6,14.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,1.0,NA,NA,9.8,3.4
2022-01-26,Data10/OKDiario[104],1500,NA,25,31.3,15.8,NA,2.9,2.1,1.6,1.5,0.8,NA,0.8,0.4,0.1,6.3,NA,1.70,0.51,0.21,10.625,2.43
2022-01-25,Sigma Dos/Antena 3[105],NA,NA,24.8,31.1,15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,2.00/1,NA,NA,10.224,2.53
2022-01-20,DYM/Henneo[106],1007,NA,26.9,31.6,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,2.10/1,NA,NA,9.619/22,2.12/3
2022-01-20,Celeste-Tel/Onda Cero[107][108],1100,64.9,24.9,32.4,14.6,NA,3.3,2.1,1.5,1.3,0.9,NA,0.8,0.2,0.1,7.5,NA,2.01,0.52,0.21,10.423,3.04
