date,Firm,Sample,Turnout,People%27s_Party_(Spain),Spanish_Socialist_Workers%27_Party,Popular_Unity_(Spain),"Union,_Progress_and_Democracy",Convergence_and_Union,EH_Bildu,Basque_Nationalist_Party,Republican_Left_of_Catalonia%E2%80%93Catalonia_Yes,Galician_Nationalist_Bloc,Canarian_Coalition,Coalici%C3%B3_Comprom%C3%ADs,Citizens_(Spanish_political_party),Podemos_(Spanish_political_party),Democratic_Convergence_of_Catalonia,Democracy_and_Freedom,"Plural_Left_(Spain,_2011)",Lead,Amaiur
2014-05-15,Sigma Dos/El Mundo[390],1111,NA,33.8,25.7,NA,6.2,NA,NA,NA,NA,NA,NA,NA,2.9,3.1,NA,NA,10.3,8.1,NA
2014-05-10,Simple Lógica[301],NA,NA,30.9,22.9,NA,12.3,2.7,NA,1.8,NA,NA,NA,NA,NA,NA,NA,NA,12.4,8.0,NA
2014-05-08,Celeste-Tel[391],1100,57.9,32.4,29,NA,7.3,2.6,1.4,1.3,1.8,0.8,0.8,0.9,2,1.8,NA,NA,12.125/27,3.4,NA
2014-05-08,Feedback/La Vanguardia[392],1500,56.9,34.9,27.1,NA,9.2,3.9,1.5,1.4,2.4,NA,NA,NA,NA,NA,NA,NA,12.538,7.8,NA
2014-04-15,Sigma Dos/El Mundo[393][394],1000,NA,33.1,30.2,NA,7.2,NA,NA,NA,NA,NA,NA,NA,2.3,1.2,NA,NA,10.4,2.9,NA
2014-04-09,Simple Lógica[301],1020,NA,28.4,23.8,NA,13.3,3.5,NA,1.4,NA,NA,NA,NA,NA,NA,NA,NA,11.5,4.6,NA
2014-04-07,CIS[395][396],2469,NA,31.9,26.2,NA,8.9,3,1.3,1.1,2.5,0.6,0.4,1.7,NA,NA,NA,NA,10.9,5.7,NA
2014-04-05,Celeste-Tel[397],1100,57.5,32.3,28.9,NA,7.5,2.7,1.6,1.4,1.9,0.9,0.9,1,1.4,NA,NA,NA,12.526/28,3.4,NA
2014-04-01,Metroscopia/El País[398][399],1200,65,31.8,32.3,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,0.5,NA
2014-03-14,NC Report[400],955,NA,33.3,27.8,NA,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3,5.5,NA
2014-03-07,Simple Lógica[401],1068,54.6,29.3,22.8,NA,12.7,3.5,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,13.3,6.5,NA
2014-03-06,Celeste-Tel[402],1100,56.9,32,28.9,NA,7.7,2.6,1.5,1.4,2,1,1,1,1.4,NA,NA,NA,12.826/28,3.1,NA
2014-03-04,Metroscopia/El País[403][404],1200,65,31.5,32,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0,0.5,NA
2014-03-01,NC Report/La Razón[405][406],630,58.7,32.6,26.7,NA,9.4,3.3,1.3,1.6,2.3,0.7,1.3,1,NA,NA,NA,NA,12.1,5.9,NA
2014-02-28,InvyMark/laSexta[407],NA,NA,28.8,23.6,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.5,5.2,NA
2014-02-19,MyWord/Cadena SER[408][409],1000,NA,27.5,23.2,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.5,4.3,NA
2014-02-14,InvyMark/laSexta[407],NA,NA,28.9,23.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.7,NA
2014-02-13,GAD3/ABC[410],1000,NA,32.3,26.3,NA,10.1,3.3,1.3,1.3,2.1,NA,NA,NA,0.9,NA,NA,NA,10.721,6.0,NA
2014-02-10,Simple Lógica[401],1119,NA,29.6,20.3,NA,11.8,3.8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,14.9,9.3,NA
2014-02-06,Metroscopia/El País[411][412],1200,65,30.8,31.7,NA,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.5,0.9,NA
2014-02-06,Celeste-Tel/eldiario.es[413][414],1100,56.6,31.6,28.7,NA,7.8,2.4,1.6,1.2,2.1,0.9,0.8,1.1,1.4,NA,NA,NA,13.126/29,2.9,NA
2014-01-24,InvyMark/laSexta[415],NA,NA,28.7,23.3,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.7,5.4,NA
2014-01-23,GESOP/El Periódico[416],1000,NA,28.6,24.9,NA,11.5,3.3,NA,NA,2.1,NA,NA,NA,4.1,NA,NA,NA,13.237/39,3.7,NA
