date,Firm,Sample,Turnout,Spanish_Socialist_Workers%27_Party,People%27s_Party_(Spain),Vox_(political_party),Unidas_Podemos,Citizens_(Spanish_political_party),Republican_Left_of_Catalonia%E2%80%93Sovereigntists,M%C3%A1s_Pa%C3%ADs,Together_for_Catalonia_(2020),Basque_Nationalist_Party,EH_Bildu,Popular_Unity_Candidacy,Canarian_Coalition%E2%80%93New_Canaries,Galician_Nationalist_Bloc,Navarra_Suma,Regionalist_Party_of_Cantabria,Teruel_Existe,Lead,Together_for_Catalonia_(2017)
2021-09-21,Celeste-Tel/Onda Cero[101][102],1100,63.6,26.1,29.2,15.1,9.9,3.5,3.2,4.1,2.3,1.5,1.1,0.9,0.4,0.7,0.4,0.2,0.1,3.1,NA
2021-09-20,Metroscopia[66],NA,NA,26.5,26.2,18.1,9.8,2,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA
2021-09-20,Data10/OKDiario[103],1000,NA,25,28.7,16.1,9.6,2.9,3.3,4.4,2.4,1.6,1.1,0.8,0.4,0.6,0.4,0.3,0.1,3.7,NA
2021-09-19,DYM/Henneo[104][105],1000,NA,26,26.1,15.6,12.8,3.9,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA
2021-09-18,NC Report/La Razón[106][107],1000,63.6,25,29.9,14.9,9.5,2.7,3.3,3.4,2.3,1.7,1.2,NA,NA,NA,0.4,NA,NA,4.9,NA
2021-09-17,ElectoPanel/Electomanía[108],1233,NA,26,28.1,16.4,10.4,3.3,3.4,3.1,2.3,1.6,1.1,0.9,0.5,0.6,0.4,0.3,0.1,2.1,NA
2021-09-16,GAD3/NIUS[109][110],1002,NA,26.3,28.2,15.4,11,2.8,3.8,2.2,2.1,1.6,1.1,0.8,0.5,0.5,0.4,0.2,0.1,1.9,NA
2021-09-16,Simple Lógica[111],1027,64.9,26.2,22.5,17.7,11.3,3.3,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,NA
2021-09-13,CIS[112][113][114],3780,NA,29.6,20.5,13.8,11.3,6.5,3.2,3.3,1.5,1.3,0.9,0.8,0.4,0.5,0.4,0.1,0.1,9.1,NA
2021-09-10,IMOP/El Confidencial[115],1309,NA,26.6,26.4,16.5,10.6,2.9,2.9,3.7,2.1,1.6,1.2,1,0.5,0.6,0.4,0.3,0.1,0.2,NA
